"id","name","domain","old_url","old_ats","new_url","new_ats","confidence","reason"
"32e834e7-6c51-4382-8f92-776de3a1487f","Activehours Inc.","activehours.com","https://activehours.com/careers","","https://www.earnin.com/careers","","medium","careers_page_no_ats_detected"
"32caecae-1990-46c0-950d-d45477c59ea4","Burlington Stores","burlingtonstores.com","https://careers.burlingtonstores.com","workday","https://www.burlington.com/careers","","medium","careers_page_no_ats_detected"
"34c80ea7-9ab3-4a6e-bae9-a72aa5fafcf3","Hormel Foods","hormelfoods.com","https://careers.hormelfoods.com","workday","https://www.hormelfoods.com/careers/","","medium","careers_page_no_ats_detected"
"ab259ce3-e50c-4c3c-a9c5-f1197750e484","Lucid Motors","lucidmotors.com","https://careers.lucidmotors.com","workday","https://lucidmotors.com/careers","","medium","careers_page_no_ats_detected"
"3c8b9f59-2da4-4d80-8122-ad26b5455cc8","Martin Marietta","martinmarietta.com","https://careers.martinmarietta.com","icims","https://jobs.jobvite.com/martinmarietta","","medium","careers_page_no_ats_detected"
"ebb45857-b075-4c06-9456-db1305ce2d1e","Optum","optum.com","https://careers.optum.com","workday","https://www.optum.com/en/careers.html","","medium","careers_page_no_ats_detected"
"82c020a2-6211-4885-a06c-150fe51991ea","Sagitec Solutions LLC","sagitec.com","https://sagitec.com/careers","","https://www.sagitec.com/careers","","medium","careers_page_no_ats_detected"
"a079eaa2-9ab8-4cfa-a36d-a5bcf7cd727c","Oss Inc.","oss.com","https://oss.com/careers","","https://www.oss.com/company/careers.html","","medium","careers_page_no_ats_detected"
"9b8a5ef8-a721-4230-99c5-39c82a1d7e35","Tata Consultancy Services","tcs.com","https://tcs.icims.com/jobs","icims","https://www.tcs.com/careers","","medium","careers_page_no_ats_detected"
"ed7fb1bb-1db5-47f2-b727-b217e176eb17","Thinklusive Inc.","thinklusive.com","https://thinklusive.com/careers","","https://thinklusive.com/career/","","medium","careers_page_no_ats_detected"
"bb053fff-2793-44a7-a250-3edc811d9403","University of Texas at Austin","utexas.edu","https://utaustin.csod.com/ux/ats/careersite/13/home","csod","https://www.utexas.edu/jobs","","medium","careers_page_no_ats_detected"
"09916d80-acf2-42d0-bd11-35b34c0303a4","Validation Associates LLC","validationassociates.com","https://www.validation-associates.com/careers","custom","https://validationassociates.com/careers.php","","medium","careers_page_no_ats_detected"
"799a0965-39d9-4316-88ab-c2a6576fa595","U.S. Steel","ussteel.com","https://careers.ussteel.com","workday","https://www.ussteel.com/careers/careers-in-steel","","medium","careers_page_no_ats_detected"
"beda9634-acf4-4dc0-a6b5-d55f4db0f89d","Williams-Sonoma","williams-sonoma.com","https://careers.williams-sonomainc.com","workday","https://www.williams-sonoma.com/customer-service/careers/?cm_src=OLDLINK&cm_type=fnav","","medium","careers_page_no_ats_detected"
