index,jobId,company,title,section,httpStatus,apiError,finalAction,selectedRuleId,confidence,hiringRealityBand,capabilityBand,evidenceBand,eligibilityBand,positioningBand,authorizationCategories,capabilityHeadline,evidenceHeadline,positioningHeadline,topRiskKinds,actionKinds,dataGapIds,canonicalOutcome,canonicalEvaluatedJobId,canonicalHops,durationMs
1,94d93b1f-17ed-484f-bd5f-26d4b314f6f0,Citigroup,Senior Java Full Stack Developer,backend_fintech,404,JOB_NOT_FOUND,,,,,,,,,,,,,,,,,,,651
2,6466c48e-7379-4ac8-8794-4460560aaad5,Capital One,"Lead Software Engineer, Back End",backend_fintech,404,JOB_NOT_FOUND,,,,,,,,,,,,,,,,,,,91
3,cd82fc7d-54b4-4811-8192-14be418f04a3,Stripe,"Backend Engineer, Core Technology",backend_fintech,404,JOB_NOT_FOUND,,,,,,,,,,,,,,,,,,,86
4,ee165f9f-6834-41c4-9c8c-c38b0bd97d16,Coinbase,"Senior Software Engineer, Backend",backend_fintech,404,JOB_NOT_FOUND,,,,,,,,,,,,,,,,,,,93
5,3d779276-bb8f-41fb-8773-ac20a9740a7d,Coinbase,"Senior Software Engineer, Backend (Platform - Financial En",backend_fintech,404,JOB_NOT_FOUND,,,,,,,,,,,,,,,,,,,81
6,08b30169-eefc-46ea-ba52-f725460f480e,Snowflake,"Senior Software Engineer, Identity & Access Management",backend_fintech,404,JOB_NOT_FOUND,,,,,,,,,,,,,,,,,,,164
7,d30fea9e-8479-49f0-b485-316c373f09a0,Match Group,Senior Software Engineer,backend_fintech,404,JOB_NOT_FOUND,,,,,,,,,,,,,,,,,,,83
8,d96db4a8-9acb-41bc-8f19-11ea046ecd50,Mixpanel,"Software Engineer, DevInfra",backend_fintech,404,JOB_NOT_FOUND,,,,,,,,,,,,,,,,,,,83
9,282eba74-159d-4dae-8ae3-8ac173564539,Citigroup,Senior Software Engineer Applied Gen AI Engineering,ai_ml_staff,404,JOB_NOT_FOUND,,,,,,,,,,,,,,,,,,,84
10,587de755-1293-4531-98b8-229a8f3533a3,Amplitude,Senior AI Software Engineer,ai_ml_staff,404,JOB_NOT_FOUND,,,,,,,,,,,,,,,,,,,85
11,82ab60c4-69a8-4098-a404-82b712e43150,Snowflake,"Senior SWE, AI Backend: Observe by Snowflake",ai_ml_staff,200,,INSUFFICIENT_DATA,RD1,unknown,LIVE,UNKNOWN,ADEQUATE,EMPLOYER_ACTION_MAY_BE_NEEDED,MISALIGNED,,Capability cannot be assessed from the supplied inputs.,The resume shows enough relevant evidence for this role.,The resume appears aimed at a different role.,,complete_profile,capability-inputs-missing|career-fit-score-missing|field-corpus-unavailable|role-specific-sponsorship-unknown|years-requirement-unstated,not_a_duplicate,82ab60c4-69a8-4098-a404-82b712e43150,0,1014
12,35757934-eace-40ca-9291-53df90f9e48e,Snowflake,Staff Machine Learning Engineer - Cortex Code Quality,ai_ml_staff,404,JOB_NOT_FOUND,,,,,,,,,,,,,,,,,,,244
13,349df183-df7b-466b-929f-0c07546400e9,Snowflake,"Applied Scientist, Customer FinOps Intelligence",ai_ml_staff,404,JOB_NOT_FOUND,,,,,,,,,,,,,,,,,,,86
14,ec94f69a-c0a5-4c97-bb11-60d91198877a,Temporal,Staff Software Engineer - AI SDK,ai_ml_staff,200,,SKIP,RB1,high,CLOSED,UNKNOWN,ADEQUATE,EMPLOYER_ACTION_MAY_BE_NEEDED,MISALIGNED,,Capability cannot be assessed from the supplied inputs.,The resume shows enough relevant evidence for this role.,The resume appears aimed at a different role.,,confirm_everify_participation|choose_different_target,capability-inputs-missing|career-fit-score-missing|everify-participation-unknown|field-corpus-unavailable|role-specific-sponsorship-unknown|years-requirement-unstated,not_a_duplicate,ec94f69a-c0a5-4c97-bb11-60d91198877a,0,848
15,bdd13595-162d-4d86-81e3-acebad4c817e,Snowflake,"Staff Software Engineer, Cortex AI Infrastructure",ai_ml_staff,200,,INSUFFICIENT_DATA,RD1,unknown,LIVE,UNKNOWN,STRONG,EMPLOYER_ACTION_MAY_BE_NEEDED,MISALIGNED,,Capability cannot be assessed from the supplied inputs.,The resume makes the relevant evidence easy to find.,The resume appears aimed at a different role.,,complete_profile,capability-inputs-missing|career-fit-score-missing|field-corpus-unavailable|role-specific-sponsorship-unknown|years-requirement-unstated,not_a_duplicate,bdd13595-162d-4d86-81e3-acebad4c817e,0,717
16,b1f68f3d-8ac0-4df3-ac34-c1d678afb830,Coinbase,Staff Software Engineer (Platform - Financial Engineering),ai_ml_staff,404,JOB_NOT_FOUND,,,,,,,,,,,,,,,,,,,92
17,076db0e8-fb74-4f13-b52b-04eb11a3928b,Thomson Reuters,Staff Software Engineer - AI I,ai_ml_staff,404,JOB_NOT_FOUND,,,,,,,,,,,,,,,,,,,109
